source_id,target_id,target_title,resolution,relationship
Concepts/Industrial visual inspection,Concepts/Surface defect detection,Surface defect detection,resolved,wikilink
Concepts/Industrial visual inspection,Domains/Emerging Domains/Nondestructive testing,Nondestructive testing,resolved,wikilink
Concepts/Industrial visual inspection,Domains/Emerging Domains/Smart manufacturing,Smart manufacturing,resolved,wikilink
Concepts/Industrial visual inspection,Methods/Deployment/Edge intelligence,Edge intelligence,resolved,wikilink
Concepts/Industrial visual inspection,Methods/Synthetic Data Generation/Synthetic data generation,Synthetic data generation,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Benchmark/2021 - Deep Learning-Based Defect Detection of Metal Parts Evaluating Current Methods in Complex Conditions,2021 - Deep Learning-Based Defect Detection of Metal Parts Evaluating Current Methods in Complex Conditions,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Benchmark/2022 - Anomaly Detection for Real-World Industrial Applications Benchmarking Recent Self-Supervised and Pretrained Methods,2022 - Anomaly Detection for Real-World Industrial Applications Benchmarking Recent Self-Supervised and Pretrained Methods,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Benchmark/2024 - Detecting Visual Anomalies in an Industrial Environment Unsupervised Methods Put to the Test on the AutoVI Dataset,2024 - Detecting Visual Anomalies in an Industrial Environment Unsupervised Methods Put to the Test on the AutoVI Dataset,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2019 - A Public Fabric Database for Defect Detection Methods and Results,2019 - A Public Fabric Database for Defect Detection Methods and Results,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2024 - A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect,2024 - A Dataset for Deep Learning Based Detection of Printed Circuit Board Surface Defect,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,2024 - A Novel Dataset for Fabric Defect Detection Bridging Gaps in Anomaly Detection,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2024 - FabricSpotDefect An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,2024 - FabricSpotDefect An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,resolved,wikilink
Concepts/Industrial visual inspection,"Papers/Dataset/2024 - LoHi-WELD A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives","2024 - LoHi-WELD A Novel Industrial Dataset for Weld Defect Detection and Classification, a Deep Learning Study, and Future Perspectives",resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Dataset/2025 - HSS-IAD A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,2025 - HSS-IAD A Heterogeneous Same-Sort Industrial Anomaly Detection Dataset,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2011 - Non-parametric Texture Defect Detection Using Weibull Features,2011 - Non-parametric Texture Defect Detection Using Weibull Features,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - Defect Detection in CT Scans of Cast Aluminum Parts,2021 - Defect Detection in CT Scans of Cast Aluminum Parts,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - Defect-GAN High-Fidelity Defect Synthesis for Automated Defect Inspection,2021 - Defect-GAN High-Fidelity Defect Synthesis for Automated Defect Inspection,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning,2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - SIGAN A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation,2021 - SIGAN A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - Simulation-Based Data Augmentation for Quality Inspection of Structural Adhesive,2021 - Simulation-Based Data Augmentation for Quality Inspection of Structural Adhesive,resolved,wikilink
Concepts/Industrial visual inspection,Papers/Research/2021 - Synthetic Image Data Augmentation for Fibre Layup Inspection Processes,2021 - Synthetic Image Data Augmentation for Fibre Layup Inspection Processes,resolved,wikilink
